Country,GDP,Infant mortality (per 1000 births),Life_expectancy,Minimum_wage,Health_expenditure,Physicians,Population,Unemployment,Latitude,Longitude
Republic of Ireland,388699000000.00,3.10,82.30,10.79,0.15,3.31,5007069.00,0.05,53.41,-8.24
Israel,395099000000.00,3.00,82.80,7.58,0.24,4.62,9053300.00,0.04,31.05,34.85
Italy,2001240000000.00,2.60,82.90,,0.23,3.98,60297396.00,0.10,41.87,12.57
Jamaica,16458071068.00,12.40,74.40,1.33,0.24,1.31,2948279.00,0.08,18.11,-77.30
Japan,5081770000000.00,1.80,84.20,6.77,0.13,2.41,126226568.00,0.02,36.20,138.25
Jordan,43743661972.00,13.90,74.40,1.49,0.25,2.32,10101694.00,0.15,30.59,36.24
Kazakhstan,180162000000.00,8.80,73.20,0.41,0.39,3.25,18513930.00,0.05,48.02,66.92
Kenya,95503088538.00,30.60,66.30,0.25,0.33,0.16,52573973.00,0.03,-0.02,37.91
Kiribati,194647202.00,41.20,68.10,,0.00,0.20,117606.00,,1.84,-157.38
Kuwait,134761000000.00,6.70,75.40,0.95,0.14,2.58,4207083.00,0.02,29.31,47.48
Kyrgyzstan,8454619608.00,16.90,71.40,0.09,0.48,1.88,6456900.00,0.06,41.20,74.77
Laos,18173839128.00,37.60,67.60,0.83,0.45,0.37,7169455.00,0.01,19.86,102.50
Latvia,34117202555.00,3.30,74.70,2.80,0.42,3.19,1912789.00,0.07,56.88,24.60
Lebanon,53367042272.00,6.40,78.90,2.15,0.32,2.10,6855713.00,0.06,33.85,35.86
Lesotho,2460072444.00,65.70,53.70,0.41,0.17,0.07,2125268.00,0.23,-29.61,28.23
Liberia,3070518100.00,53.50,63.70,0.17,0.20,0.04,4937374.00,0.03,6.43,-9.43
Libya,52076250948.00,10.20,72.70,1.88,0.37,2.09,6777452.00,0.19,26.34,17.23
Liechtenstein,6552858739.00,,83.00,,,,38019.00,,47.14,9.52
Lithuania,54219315600.00,3.30,75.70,2.41,0.32,6.35,2786844.00,0.06,55.17,23.88
Luxembourg,71104919108.00,1.90,82.10,13.05,0.11,3.01,645397.00,0.05,49.82,6.13
Madagascar,14083906357.00,38.20,66.70,0.21,0.22,0.18,26969307.00,0.02,-18.77,46.87
Malawi,7666704427.00,35.30,63.80,0.12,0.11,0.04,18628747.00,0.06,-13.25,34.30
Malaysia,364702000000.00,6.70,76.00,0.93,0.37,1.51,32447385.00,0.03,4.21,101.98
Maldives,5729248472.00,7.40,78.60,,0.16,4.56,530953.00,0.06,3.20,73.22
Mali,17510141171.00,62.00,58.90,0.23,0.46,0.13,19658031.00,0.07,17.57,-4.00
Malta,14786156563.00,6.10,82.30,5.07,0.37,2.86,502653.00,0.03,35.94,14.38
Marshall Islands,221278000.00,27.40,65.20,2.00,0.10,0.42,58791.00,,7.13,171.18
Mauritania,7593752450.00,51.50,64.70,0.53,0.48,0.19,4525696.00,0.10,21.01,-10.94
Mauritius,14180444557.00,13.60,74.40,0.38,0.51,2.53,1265711.00,0.07,-20.35,57.55
Mexico,1258290000000.00,11.00,75.00,0.49,0.41,2.38,126014024.00,0.03,23.63,-102.55
Federated States of Micronesia,401932279.00,25.60,67.80,,0.03,0.18,113815.00,,7.43,150.55
Moldova,11955435457.00,13.60,71.80,0.31,0.46,3.21,2657637.00,0.05,47.41,28.37
Monaco,7184844193.00,2.60,,11.72,0.06,6.56,38964.00,,43.74,7.42
Mongolia,13852850259.00,14.00,69.70,0.65,0.39,2.86,3225167.00,0.06,46.86,103.85
Montenegro,5494736901.00,2.30,76.80,1.23,0.32,2.76,622137.00,0.15,42.71,19.37
Morocco,118725000000.00,19.20,76.50,1.60,0.53,0.73,36910560.00,0.09,31.79,-7.09
Mozambique,14934159926.00,54.00,60.20,0.27,0.07,0.08,30366036.00,0.03,-18.67,35.53
Myanmar,76085852617.00,36.80,66.90,0.39,0.74,0.68,54045420.00,0.02,21.92,95.96
Namibia,12366527719.00,29.00,63.40,,0.08,0.42,2494530.00,0.20,-22.96,18.49
Nauru,133000000.00,,,,,,10084.00,,-0.52,166.93
Nepal,30641380604.00,26.70,70.50,0.36,0.60,0.75,28608710.00,0.01,28.39,84.12
Netherlands,909070000000.00,3.30,81.80,10.29,0.12,3.61,17332850.00,0.03,52.13,5.29
New Zealand,206929000000.00,4.70,81.90,11.49,0.13,3.59,4841000.00,0.04,-40.90,174.89
Nicaragua,12520915291.00,15.70,74.30,0.54,0.36,0.98,6545502.00,0.07,12.87,-85.21
Niger,12928145120.00,48.00,62.00,0.29,0.52,0.04,23310715.00,0.00,17.61,8.08
Nigeria,448120000000.00,75.70,54.30,0.54,0.72,0.38,200963599.00,0.08,9.08,8.68
North Korea,32100000000.00,13.70,72.10,,,3.67,25666161.00,0.03,40.34,127.51
North Macedonia,10220781069.00,,,,0.36,,1836713.00,,41.61,21.75
Norway,403336000000.00,2.10,82.80,,0.14,2.92,5347896.00,0.03,60.47,8.47
Oman,76983094928.00,9.80,77.60,4.33,0.06,2.00,5266535.00,0.03,21.47,55.98
Pakistan,304400000000.00,57.20,67.10,0.69,0.67,0.98,216565318.00,0.04,30.38,69.35
Palau,283994900.00,16.60,69.10,3.00,0.22,1.18,18233.00,,7.51,134.58
Palestinian National Authority,,,,,,,,,31.95,35.23
Panama,66800800000.00,13.10,78.30,1.53,0.31,1.57,4246439.00,0.04,8.54,-80.78
